#day	New death USA
0	1.0
1	0.0
2	5.0
3	1.0
4	4.0
5	1.0
6	2.0
7	3.0
8	4.0
9	1.0
10	6.0
11	5.0
12	10.0
13	8.0
14	7.0
15	12.0
16	27.0
17	37.0
18	60.0
19	72.0
20	106.0
21	103.0
22	113.0
23	191.0
24	241.0
25	330.0
26	417.0
27	516.0
28	637.0
29	608.0
30	709.0
31	1097.0
32	1327.0
33	1509.0
34	1427.0
35	1566.0
36	1614.0
37	1770.0
38	2580.0
39	2151.0
40	2202.0
41	2207.0
42	2122.0
43	1868.0
44	2008.0
45	2446.0
46	2594.0
47	2153.0
48	2110.0
49	1990.0
50	1979.0
51	2232.0
52	2519.0
53	2447.0
54	2465.0
55	2193.0
56	1713.0
57	1394.0
58	1516.0
59	2219.0
60	2407.0
61	2288.0
62	1899.0
63	1723.0
64	1178.0
65	1364.0
66	2233.0
67	2292.0
68	1922.0
69	1748.0
70	1541.0
71	973.0
72	1032.0
73	1584.0
74	1729.0
75	1776.0
76	1661.0
77	1262.0
78	818.0
79	1213.0
80	1451.0
81	1481.0
82	1182.0
83	1242.0
84	1113.0
85	632.0
86	583.0
87	679.0
88	1471.0
89	1125.0
90	1142.0
91	961.0
92	725.0
93	774.0
94	974.0
95	1006.0
96	1000.0
97	883.0
98	688.0
99	455.0
100	506.0
101	917.0
102	870.0
103	830.0
104	830.0
105	743.0
106	341.0
107	395.0
108	809.0
109	734.0
110	691.0
111	638.0
112	574.0
113	314.0
114	411.0
115	746.0
116	751.0
117	542.0
118	635.0
119	502.0
120	315.0
121	403.0
122	590.0
123	708.0
124	742.0
125	639.0
126	308.0
127	325.0
128	371.0
129	1163.0
130	841.0
131	1018.0
132	810.0
133	733.0
134	470.0
135	445.0
136	927.0
137	975.0
138	956.0
139	933.0
140	870.0
141	466.0
142	565.0
143	1096.0
144	1226.0
145	1093.0
146	1102.0
147	915.0
148	534.0
149	1125.0
150	1344.0
151	1433.0
152	1228.0
153	1232.0
154	1094.0
155	429.0
156	581.0
157	1340.0
158	1396.0
159	1239.0
160	1231.0
161	1080.0
162	563.0
163	592.0
164	1020.0
165	1504.0
166	1066.0
167	1339.0
168	1008.0
169	605.0
170	490.0
171	1273.0
172	1306.0
173	1093.0
174	1089.0
175	987.0
176	497.0
177	474.0
178	1228.0
179	1189.0
180	1101.0
181	963.0
182	902.0
183	466.0
184	570.0
185	1047.0
186	1060.0
187	1032.0
188	948.0
189	783.0
190	444.0
191	298.0
192	452.0
193	1152.0
194	905.0
195	1174.0
196	723.0
197	428.0
198	439.0
199	1206.0
200	948.0
201	873.0
202	908.0
203	723.0
204	270.0
205	437.0
206	1035.0
207	1060.0
208	908.0
209	933.0
210	781.0
211	319.0
212	359.0
213	865.0
214	938.0
215	869.0
216	855.0
217	683.0
218	385.0
219	484.0
220	694.0
221	923.0
222	988.0
223	972.0
224	654.0
225	464.0
226	393.0
227	796.0
228	993.0
229	863.0
230	935.0
231	772.0
232	491.0
233	487.0
234	936.0
235	1154.0
236	891.0
237	964.0
238	953.0
239	460.0
240	540.0
241	974.0
242	1039.0
243	1003.0
244	1072.0
245	907.0
246	496.0
247	576.0
248	1580.0
249	1125.0
250	1158.0
251	1234.0
252	1078.0
253	571.0
254	787.0
255	1423.0
256	1440.0
257	1211.0
258	1205.0
259	1341.0
260	768.0
261	845.0
262	1726.0
263	1939.0
264	2042.0
265	1956.0
266	1618.0
267	1027.0
268	1110.0
269	2139.0
270	2270.0
271	1383.0
272	1553.0
273	1363.0
274	1035.0
275	1369.0
276	2557.0
277	2820.0
278	2961.0
279	2677.0
280	2343.0
281	1341.0
282	1626.0
283	2634.0
284	3178.0
285	2984.0
286	3414.0
287	2451.0
288	1606.0
289	1698.0
290	3094.0
291	3723.0
292	3462.0
293	2950.0
294	2639.0
295	1699.0
296	1977.0
297	3388.0
298	3442.0
299	2888.0
300	1386.0
301	1865.0
302	1422.0
303	2029.0
304	3637.0
305	3744.0
306	3424.0
307	2125.0
308	2479.0
309	1417.0
310	2121.0
311	3659.0
312	3867.0
313	3910.0
314	4008.0
315	3248.0
316	1905.0
317	2030.0
318	4407.0
319	3965.0
320	3907.0
321	3809.0
322	3350.0
323	1791.0
324	1424.0
325	2701.0
326	4336.0
327	4137.0
328	3760.0
329	3284.0
330	1826.0
331	1936.0
332	3995.0
333	3916.0
334	3975.0
335	3577.0
336	2714.0
337	1792.0
338	2017.0
339	3437.0
340	3828.0
341	3722.0
342	3587.0
343	2551.0
344	1325.0
345	1592.0
346	3044.0
347	3293.0
348	3151.0
349	2888.0
350	2160.0
351	1096.0
352	954.0
353	1700.0
354	2380.0
355	2313.0
356	2689.0
357	1821.0
358	1249.0
359	1413.0
360	2350.0
361	3230.0
